Anabaena,
Wavelength,Corrected 
(nm),Reflectance
,
397.45,28.14
402.46,50.42
407.47,84.97
412.29,121.02
417.51,149.68
422.54,173.97
427.57,221.31
432.6,311.04
437.64,443.02
442.69,586.91
447.74,701.08
452.8,793
457.86,905.39
462.92,1017.04
467.99,1113.7
473.07,1193.34
478.15,1263.94
483.23,1323
488.32,1411.68
493.41,1520.34
498.51,1636.93
503.62,1708.02
508.72,1773.74
513.84,1817.74
518.96,1846.93
524.08,1835.44
529.2,1794.69
534.34,1737.14
539.48,1657.14
544.62,1530.12
549.77,1355.37
554.92,1165.78
560.08,1050.21
565.24,995.78
570.4,964.95
575.58,896.49
580.75,822
585.93,772.05
591.12,729.32
596.31,688.08
601.51,641.85
606.71,602.2
611.91,575.77
617.12,574.14
622.34,596.84
627.56,619.86
632.78,636.04
638.01,612.58
643.24,542.48
648.48,464.25
653.73,403.11
658.98,356.16
664.23,336.96
669.49,378.27
674.75,469.15
680.02,553.44
685.29,600.04
690.57,616.54
695.85,616.13
701.14,590.51
706.43,543.38
711.73,482.14
717.03,411.38
722.34,350.88
727.65,322.37
732.97,316.39
738.29,317.13
743.61,321.34
748.94,324.24
754.28,318.74
759.62,305.38
764.97,288.74
770.32,268.06
775.67,247.09
781.03,228.5
786.4,216.47
791.77,208.57
797.14,216.17
802.52,208.33
