Aphanizomenon,
Wavelength,Corrected 
(nm),Reflectance
,
397.45,12.68
402.46,18.38
407.47,27.4
412.29,37.44
417.51,46.81
422.54,54.15
427.57,60.1
432.6,67.08
437.64,78.1
442.69,93.51
447.74,111.94
452.8,132.29
457.86,151.65
462.92,169.98
467.99,189.86
473.07,208.09
478.15,226.2
483.23,248.46
488.32,277.74
493.41,311.95
498.51,350.87
503.62,386.93
508.72,418.62
513.84,448.15
518.96,494.64
524.08,558.87
529.2,635.73
534.34,704.79
539.48,768.26
544.62,827.92
549.77,867.32
554.92,871.3
560.08,841.08
565.24,793.88
570.4,754.24
575.58,698.83
580.75,646.73
585.93,590.95
591.12,542.55
596.31,506.73
601.51,465.44
606.71,423.37
611.91,383.94
617.12,347.83
622.34,319.56
627.56,301.68
632.78,290.69
638.01,284.4
643.24,284.36
648.48,273.8
653.73,246.72
658.98,215.79
664.23,189.92
669.49,172.78
674.75,168.39
680.02,187.24
685.29,227.95
690.57,273.13
695.85,305.7
701.14,318.24
706.43,314.38
711.73,298.99
717.03,284.67
722.34,271.48
727.65,253.89
732.97,234.26
738.29,217.12
743.61,204.81
748.94,195.03
754.28,184.34
759.62,172.94
764.97,162.02
770.32,153.33
775.67,148.52
781.03,145.34
786.4,140.18
791.77,132.54
797.14,124.14
802.52,117.08
