Cylindrospermum,
Wavelength,Corrected 
(nm),Reflectance
,
397.45,8.12
402.46,12.73
407.47,20.28
412.29,29.29
417.51,38.28
422.54,45.6
427.57,51.18
432.6,57.98
437.64,70.95
442.69,93.83
447.74,126.81
452.8,162.85
457.86,191.59
462.92,215.6
467.99,245.01
473.07,274.7
478.15,301.07
483.23,323.89
488.32,345.89
493.41,367.45
498.51,398.68
503.62,437.76
508.72,482.03
513.84,519.06
518.96,558.71
524.08,592.29
529.2,617.83
534.34,621.72
539.48,615.21
544.62,610.28
549.77,594.67
554.92,559.79
560.08,507.6
565.24,449.35
570.4,410.69
575.58,382.16
580.75,360.39
585.93,330.61
591.12,301.84
596.31,281.41
601.51,260.7
606.71,239.97
611.91,221.92
617.12,205.68
622.34,194.33
627.56,191.35
632.78,195.62
638.01,200.71
643.24,204.82
648.48,197.7
653.73,176.74
658.98,152.95
664.23,134.25
669.49,120.8
674.75,116.23
680.02,130.56
685.29,164.52
690.57,202.43
695.85,228.02
701.14,241.09
706.43,247.63
711.73,242.14
717.03,222.77
722.34,197.09
727.65,171.87
732.97,156.55
738.29,150.4
743.61,147.64
748.94,146.79
754.28,145.25
759.62,143.86
764.97,142.32
770.32,140.52
775.67,136.55
781.03,127.63
786.4,117.85
791.77,109.8
797.14,104.76
802.52,101.56
