Gleocapsa,
Wavelength,Corrected 
(nm),Reflectance
,
397.45,10.71
402.46,18.62
407.47,32.24
412.29,48.55
417.51,64.89
422.54,79.78
427.57,92.86
432.6,106.65
437.64,126.4
442.69,150.14
447.74,177.25
452.8,209.71
457.86,239.79
462.92,266.83
467.99,300.67
473.07,333.56
478.15,362.25
483.23,389.57
488.32,418.05
493.41,441.72
498.51,468.65
503.62,494.98
508.72,520.55
513.84,535
518.96,553.17
524.08,570.43
529.2,582.75
534.34,579.12
539.48,570.17
544.62,570.69
549.77,570.95
554.92,561.26
560.08,539.73
565.24,512.4
570.4,503.31
575.58,485.32
580.75,466.68
585.93,438.06
591.12,410.18
596.31,393.28
601.51,375.98
606.71,356.36
611.91,336.74
617.12,313.98
622.34,294.9
627.56,284.9
632.78,278.68
638.01,268.22
643.24,260.07
648.48,245.41
653.73,221.71
658.98,201.93
664.23,188.64
669.49,176.74
674.75,167.25
680.02,163.96
685.29,160.12
690.57,151.72
695.85,143.14
701.14,136.83
706.43,132.34
711.73,124.95
717.03,112.56
722.34,98.2
727.65,83.77
732.97,74.47
738.29,69.73
743.61,66.64
748.94,65.1
754.28,63.43
759.62,61.68
764.97,60.53
770.32,60.05
775.67,58.42
781.03,53.78
786.4,48.6
791.77,44.44
797.14,41.65
802.52,39.72
