Lyngbya,
Wavelength,Corrected 
(nm),Reflectance
,
397.45,2.85
402.46,8.25
407.47,16.8
412.29,17.91
417.51,24.58
422.54,30.37
427.57,34.7
432.6,41.71
437.64,51.59
442.69,75.12
447.74,99.67
452.8,129.15
457.86,146.87
462.92,178.33
467.99,194.09
473.07,218.62
478.15,240.21
483.23,255.93
488.32,272.56
493.41,296.09
498.51,301.96
503.62,341.18
508.72,389.23
513.84,426.52
518.96,464.71
524.08,502.99
529.2,538.2
534.34,544.01
539.48,535.92
544.62,545.45
549.77,527.65
554.92,503.9
560.08,461.47
565.24,422.05
570.4,390.5
575.58,356.93
580.75,315.72
585.93,286.24
591.12,247.07
596.31,234.14
601.51,215.44
606.71,191
611.91,172.36
617.12,158.63
622.34,152.67
627.56,148.64
632.78,140.81
638.01,145.51
643.24,161.75
648.48,163.47
653.73,146.92
658.98,123.7
664.23,120.62
669.49,111.81
674.75,106.87
680.02,126.68
685.29,143.55
690.57,153.72
695.85,167.69
701.14,169.17
706.43,180.14
711.73,180.58
717.03,174.47
722.34,151.41
727.65,144.47
732.97,126.55
738.29,123.55
743.61,117.94
748.94,117.08
754.28,123.71
759.62,118.2
764.97,123.79
770.32,113.51
775.67,121
781.03,106.97
786.4,103.21
791.77,95.71
797.14,87.28
802.52,84.46
