Microcystis,
Wavelength,Corrected 
(nm),Reflectance
,
397.45,23.79
402.46,38.7
407.47,59.16
412.29,87.96
417.51,113.87
422.54,129.15
427.57,147.51
432.6,171.72
437.64,201.53
442.69,233.18
447.74,276.54
452.8,316.03
457.86,365.24
462.92,408.58
467.99,462.68
473.07,499.99
478.15,550.05
483.23,593.26
488.32,645.14
493.41,684.33
498.51,756.87
503.62,818.64
508.72,873.57
513.84,895.22
518.96,948.05
524.08,998.14
529.2,1045.03
534.34,1063.51
539.48,1060.08
544.62,1095.81
549.77,1109.15
554.92,1094.89
560.08,1060.8
565.24,1034.62
570.4,1001.63
575.58,947.92
580.75,923.77
585.93,845.08
591.12,808.32
596.31,779.18
601.51,737.55
606.71,702.93
611.91,644.92
617.12,613.25
622.34,570.08
627.56,559.83
632.78,525.64
638.01,504.01
643.24,503.55
648.48,455.81
653.73,418.7
658.98,381.68
664.23,353.24
669.49,328.75
674.75,314.91
680.02,319.08
685.29,321.33
690.57,302.71
695.85,288.02
701.14,273.13
706.43,259.36
711.73,236.09
717.03,206.35
722.34,197.22
727.65,179.89
732.97,159.13
738.29,162.6
743.61,155.1
748.94,136.59
754.28,131.17
759.62,129.38
764.97,122.86
770.32,111.66
775.67,104.25
781.03,102.31
786.4,105.09
791.77,92.92
797.14,91.93
802.52,81.69
