Tolypothrix,
Wavelength,Corrected 
(nm),Reflectance
,
397.45,10.25
402.46,15.99
407.47,24.2
412.29,32.57
417.51,48.28
422.54,55.07
427.57,53.97
432.6,61.11
437.64,86.64
442.69,96.58
447.74,123.12
452.8,149.69
457.86,167.44
462.92,186.16
467.99,219.57
473.07,247.05
478.15,248.05
483.23,271.62
488.32,288.25
493.41,310.79
498.51,339.22
503.62,377.46
508.72,416.69
513.84,457.9
518.96,494.12
524.08,527.5
529.2,524.47
534.34,475.38
539.48,409.51
544.62,429.89
549.77,408.22
554.92,372.79
560.08,340.23
565.24,299.93
570.4,280.18
575.58,258.43
580.75,235.81
585.93,220.03
591.12,214.97
596.31,199.16
601.51,184.38
606.71,153.17
611.91,178.17
617.12,176.03
622.34,168.12
627.56,181.46
632.78,181.32
638.01,188.88
643.24,188.71
648.48,193.28
653.73,173.82
658.98,162.07
664.23,136.89
669.49,123.28
674.75,123.1
680.02,142.87
685.29,200.59
690.57,272.34
695.85,331.6
701.14,359.14
706.43,382.91
711.73,374.36
717.03,346.11
722.34,324.33
727.65,295.46
732.97,278.24
738.29,262.01
743.61,260.06
748.94,250.89
754.28,231.64
759.62,226.19
764.97,214.08
770.32,211.22
775.67,203.85
781.03,209.29
786.4,191.57
791.77,170.99
797.14,162.5
802.52,159.66
